ProductCode, Description, ExFactoryPrice, PackagingType, DiscountGroup ,CustomerDiscount , VATClass, Brand, Weight
"J31090165","Shoulder Spare Ribs, Per Kg","352","KG","31090165","No","NONVAT","JF-FRES PK","1.000"
"J31090166","Shoulder Steaks, Per Kg","494","KG","31090166","No","NONVAT","JF-FRES PK","1.000"
"J31090167","Smoked Spare Ribs Per Kg","776.5","KG","","No","NONVAT","JF-FRES PK","1.000"
"J31090168","Belly Spare Ribs, 750 Gms","348","PC","","No","NONVAT","JF-FRES PK","0.750"
"J31090169","Suckling Pig, Per Kg","681","KG","31090169","No","NONVAT","JF-FRES PK","1.000"
"J31090170","Tallow fat","201.5","KG","31090170","No","NONVAT","JF-MISCPRK","1.000"
"J31090171","Tallow Greaves","2","KG","","No","NONVAT","JF-MISCPRK","1.000"
"J31090172","Meaty Spare Ribs","0","KG","","No","NONVAT","JF-FRES PK","1.000"
"J31090173","Loin Chops, per kg - SER","747","KG","31090113","No","NONVAT","JF-FRES PK","1.000"
"J31090174","Suckling Pig, Per Kg - SER","681","KG","31090169","No","NONVAT","JF-FRES PK","1.000"
"J31090175","P-Belly Spare Ribs Special 2kg","776.5","KG","","No","NONVAT","JF-FRES PK","2.000"
"J31090176","Pork Knuckles per Kg","348.5","KG","31090176","No","NONVAT","JF-FRES PK","1.000"
"J31090177","Pork Fillet, per Kg- SER","652.5","KG","","No","NONVAT","JF-FRES PK","1.000"
"J31090178","P-Leg B-Less Rind-On Per Kg","0","KG","","No","NONVAT","JF-FRES PK","1.000"
"J31090179","P-Leg B-Less R-less per Kg","0","KG","","No","NONVAT","JF-FRES PK","1.000"
"J31090180","Pork leg Bone-In - SER","0","KG","31090131","No","NONVAT","JF-FRES PK","1.000"
"J31090181","P Loin B'In R'Off w Fillet /kg","758","KG","","No","NONVAT","JF-FRES PK","1.000"
"J31090182","P Loin B'In R'Off w/o Fillet/k","0","KG","","No","NONVAT","JF-FRES PK","1.000"
"J31090183","P Loin B'In R'On w Fillet /kg","0","KG","","No","NONVAT","JF-FRES PK","1.000"
"J31090184","P Loin B'In R'On w/o Fillet/Kg","0","KG","","No","NONVAT","JF-FRES PK","1.000"
"J31090185","Rolled Leg B/les R/On /kg- SER","544","KG","","No","NONVAT","JF-FRES PK","1.000"
"J31090186","Pork Neck B/less per kg","0","KG","","No","NONVAT","JF-FRES PK","1.000"
